path,height,weight,BMI
../data/raw/images/f_001.jpg,1.55,61.0,25.39021852
../data/raw/images/f_002.jpg,1.76,85.0,27.44059917
../data/raw/images/f_003.jpg,1.78,56.0,17.67453604
../data/raw/images/f_004.jpg,1.63,63.0,23.71184463
../data/raw/images/f_005.jpg,1.76,54.0,17.43285124
../data/raw/images/f_006.jpg,1.73,56.0,18.71094925
../data/raw/images/f_007.jpg,1.7,54.0,18.68512111
../data/raw/images/f_008.jpg,1.65,57.0,20.93663912
../data/raw/images/f_009.jpg,1.83,63.0,18.81214727
../data/raw/images/f_010.jpg,1.58,51.0,20.42941836
../data/raw/images/f_011.jpg,1.7,64.0,22.14532872
../data/raw/images/f_012.jpg,1.59,58.0,22.94213045
../data/raw/images/f_013.jpg,1.75,72.0,23.51020408
../data/raw/images/f_014.jpg,1.73,58.0,19.37919743
../data/raw/images/f_015.jpg,1.58,52.0,20.82999519
../data/raw/images/f_016.jpg,1.7,70.0,24.22145329
../data/raw/images/f_017.jpg,1.59,50.0,19.77769867
../data/raw/images/f_018.jpg,1.69,54.0,18.90690102
../data/raw/images/f_019.jpg,1.65,54.0,19.83471074
../data/raw/images/f_020.jpg,1.57,48.0,19.47340663
../data/raw/images/f_021.jpg,1.73,56.0,18.71094925
../data/raw/images/f_022.jpg,1.52,49.0,21.20844875
../data/raw/images/f_023.jpg,1.7,65.0,22.49134948
../data/raw/images/f_024.jpg,1.73,56.0,18.71094925
../data/raw/images/f_025.jpg,1.58,47.0,18.82711104
../data/raw/images/f_026.jpg,1.7,56.0,19.37716263
../data/raw/images/f_027.jpg,1.7,62.0,21.4532872
../data/raw/images/f_028.jpg,1.6,48.0,18.75
../data/raw/images/f_029.jpg,1.55,50.0,20.81165453
../data/raw/images/f_030.jpg,1.74,56.0,18.49649888
../data/raw/images/f_031.jpg,1.65,57.0,20.93663912
../data/raw/images/f_032.jpg,1.7,53.0,18.33910035
../data/raw/images/f_033.jpg,1.63,58.0,21.8299522
../data/raw/images/f_034.jpg,1.71,65.0,22.22906193
../data/raw/images/f_035.jpg,1.58,61.0,24.43518667
../data/raw/images/f_036.jpg,1.78,63.0,19.88385305
../data/raw/images/f_037.jpg,1.65,66.0,24.24242424
